month,date,name,location
12,25,河源万绿湖国际马拉松,河源
9,10,和龙国际半程马拉松赛,和龙
5,15,生态大圩国际半程马拉松,合肥
9,24,合肥蜀山国际半程马拉松赛,合肥
11,12,合肥国际马拉松赛,合肥
11,26,庐阳三十岗祥源杯国际乡村马拉松赛,合肥
12,11,生态大圩国际半程马拉松,合肥
11,6,杭州马拉松,杭州
11,27,千岛湖马拉松,杭州
11,27,浙江大学国际校园马拉松,杭州
12,11,奥跑中国奥林匹克体育中心大众路跑全国系列赛,杭州
1,10,海口马拉松,海口
10,30,海口国际马拉松赛,海口
11,27,奥跑中国奥林匹克体育中心大众路跑全国系列赛,海口
7,23,青海湖超级越野跑,海北
8,28,哈尔滨国际马拉松,哈尔滨
11,13,桂林国际马拉松,桂林
10,28,贵州富公山超100公里国际马拉松,贵州
5,15,欢乐跑·10公里锦标赛系列赛,广州
12,11,广州马拉松,广州
10,16,广安国际红色马拉松,广安
10,4,长征系列飞夺泸定桥越野挑战赛,甘孜藏族自治州
12,11,跟着马拉松去旅游,抚州
11,27,宁德鑫浦国际山地马拉松赛,福州
12,25,福州国际马拉松,福州
1,1,容桂半程马拉松赛,佛山
6,26,西樵山国际超级马拉松,佛山
12,10,港佛超级马拉松100公里邀请赛,佛山
6,9,库布齐沙漠国际超百公里越野挑战赛,鄂尔多斯
8,21,鄂尔多斯马拉松,鄂尔多斯
3,27,成都双遗马拉松,都江堰
5,8,黄河口(东营)国际马拉松赛,东营
1,9,厚街工业半程马拉松,东莞
3,27,东莞松山湖国际马拉松赛,东莞
12,18,海南儋州国际马拉松,儋州
5,29,丹东鸭绿江国际马拉松赛,丹东
9,25,大庆国际马拉松赛,大庆
5,15,大连国际马拉松,大连
5,22,大连国际马拉松赛,大连
5,29,大连环广鹿岛山地马拉松,大连
6,26,辽东半岛山海超级马立松,大连
9,11,大连常山群岛马拉松,大连
10,23,环黄泥川大连越野赛,大连
10,29,大连24小时耐力赛,大连
5,14,星光大厂国际马拉松,大厂
5,6,达州国际半程马拉松,达州
5,15,滁州国际马拉松赛,滁州
8,13,美林谷皇家猎苑双马拉松国际慈善赛-公路赛,赤峰
10,16,池州环平天湖国际半程马拉松,池州
4,17,金山岭长城马拉松,承德
10,15,承德国际马拉松,承德
10,15,TGW100长城越野跑,承德
5,8,成都女子半程马拉松,成都
5,22,成都南丝路邛崃马拉松,成都
9,10,成都女子半程马拉松,成都
9,10,成都温江国际半程马拉松,成都
11,6,成都龙泉汽车城国际马拉松,成都
11,27,蜀道驿传接力马拉松赛,成都
5,29,欢乐跑·10公里锦标赛系列赛,常州
11,13,常州武进西太湖国际半程马拉松赛,常州
10,16,第六届常熟尚湖国际半程马拉松赛,常熟
11,19,常德柳叶湖国际马拉松,常德
6,5,巴鲁图关东越野系列赛,本溪
9,25,智慧山水城国际马拉松,本溪
1,17,北京野鸭湖冰雪马拉松,北京
2,28,祈福越野马拉松,北京
3,13,北京春季山地健行赛,北京
4,16,北京春季城市越野赛,北京
4,17,北京国际长跑节,北京
4,24,第二期香山三夫超能量越野赛,北京
5,7,TNF100北京国际越野跑挑战赛,北京
5,22,北京妫水河女子半程马拉松,北京
5,22,首届花绘北京悦跑大兴半程马拉松,北京
5,28,泥泞跑北京站,北京
5,29,挑战100一起跑,北京
5,29,香山三夫超能量越野赛,北京
6,5,荣耀咕咚10公里,北京
6,5,奥跑中国奥林匹克体育中心大众路跑全国系列赛,北京
6,16,中央国家机关半程马拉松接力赛,北京
6,18,中国人寿·24小时城市接力赛北京站,北京
6,19,中国森林马拉松系列赛,北京
6,25,第四期香山三夫超能量越野赛,北京
7,30,第五期香山三夫超能量越野赛,北京
8,13,第六期香山三夫超能量越野赛,北京
8,28,北京百里山水画廊森林马拉松,北京
9,3,第七期香山三夫超能量越野赛,北京
9,4,欢乐跑·10公里锦标赛系列赛,北京
9,17,北京马拉松,北京
9,24,门百汇跑亮相赛,北京
9,24,科勒家庭乐跑,北京
9,25,宾堡环球健康跑,北京
10,16,RW五彩顺义-北京国际山地马拉松,北京
10,16,北京长城马拉松,北京
10,29,北京女子半程马拉松,北京
10,30,北京鸟巢半程马拉松赛,北京
11,5,奥森汇跑100+超级马拉松,北京
11,5,腾冲国际半程马拉松赛,保山
8,28,包头国际马拉松,包头
10,6,巴彦淖尔马拉松,巴彦淖尔
9,24,贵州镇宁黄果树国际半程马拉松,安顺
10,30,安庆首届半程马拉松赛,安庆
11,12,大别山50公里越野赛,安庆
10,16,额济纳旗穿越胡杨林国际半程马拉松,阿拉善盟
,,,
中国马拉松信息平台：更新于2016年11月25日。,,,
